Time [],C1.V [],L1.I []
0.0001751,11.28014226,2.589104324
0.0001756,11.28783903,2.596225934
0.0001766,11.30348164,2.610312727
0.0001776,11.3196129,2.624081781
0.0001786,11.33621381,2.637523514
0.0001796,11.35326509,2.650628725
0.0001799,11.35846583,2.65449353
0.00018,11.36020796,2.655774859
0.0001801,11.36195431,2.657052697
0.0001806,11.37079942,2.663344702
0.0001816,11.38869025,2.675749806
0.0001826,11.40697231,2.68779318
0.0001836,11.42562551,2.699467202
0.0001846,11.44462962,2.71076465
0.0001849,11.4503967,2.714079569
0.000185,11.45232559,2.715176849
0.0001851,11.45425771,2.716270266
0.0001856,11.46400383,2.721630228
0.0001866,11.48364597,2.73215373
0.0001876,11.50357757,2.742281494
0.0001886,11.52377799,2.752007939
0.0001896,11.54422651,2.761327894
0.0001899,11.55040681,2.764043992
0.00019,11.55247138,2.764941115
0.0001901,11.55453814,2.765834106
0.0001906,11.56492903,2.770184816
0.0001916,11.58580891,2.778677436
0.0001926,11.60687462,2.786750601
0.0001936,11.62810542,2.794400801
0.0001946,11.64948062,2.80162494
0.0001949,11.65591871,2.803708741
0.000195,11.65806714,2.804394756
0.0001951,11.66021671,2.805076472
0.0001956,11.67099326,2.80836654
0.0001966,11.6925928,2.814730679
0.0001976,11.71427505,2.820662001
0.0001986,11.73601965,2.826159054
0.0001996,11.75780634,2.831220794
0.0001999,11.76434801,2.83265433
0.0002,11.76652892,2.833123454
0.0002001,11.76870998,2.833588215
0.0002006,11.77961609,2.835792054
0.0002016,11.8014244,2.839981649
0.0002026,11.82321506,2.843735255
0.0002036,11.84496851,2.847053419
0.0002046,11.86666541,2.84993708
0.0002049,11.87316102,2.8507176
0.000205,11.87532464,2.850969115
0.0002051,11.87748742,2.851216303
0.0002056,11.88827556,2.852333547
0.0002066,11.90979991,2.854352792
0.0002076,11.93121112,2.855942682
0.0002086,11.95249084,2.857105662
0.0002096,11.97362102,2.857844544
0.0002099,11.97992864,2.857983895
0.00021,11.98202777,2.858021938
0.0002101,11.98412515,2.858055785
0.0002106,11.99456147,2.858110171
0.0002116,12.01533741,2.858011182
0.0002126,12.03591151,2.857498693
0.0002136,12.05626696,2.856576908
0.0002146,12.07638733,2.855250365
0.0002149,12.08237554,2.854774077
0.000215,12.08436653,2.854607334
0.0002151,12.08635494,2.854436613
0.0002156,12.0962238,2.853474375
0.0002166,12.11582422,2.851353895
0.0002176,12.13514251,2.848844228
0.0002186,12.15416374,2.845951165
0.0002196,12.17287339,2.842680794
0.0002199,12.17842372,2.841626903
0.00022,12.18026726,2.841268211
0.0002201,12.18210748,2.840905837
0.0002206,12.19121545,2.838993682
0.0002216,12.20925836,2.834988944
0.0002226,12.22694868,2.830626874
0.0002236,12.24427362,2.825914651
0.0002246,12.26122079,2.820859707
0.0002249,12.26622974,2.819277356
0.000225,12.26789155,2.818743234
0.0002251,12.26954942,2.818205793
0.0002256,12.27772857,2.815428507
0.0002266,12.29388354,2.809712386
0.0002276,12.30962644,2.803677286
0.0002286,12.32494676,2.797331554
0.0002296,12.33983447,2.790683742
0.0002299,12.34421518,2.788631594
0.00023,12.34566654,2.787941711
0.0002301,12.34711344,2.787248931
0.0002306,12.35422394,2.783706692
0.0002316,12.36821714,2.776482281
0.0002326,12.38175058,2.768982604
0.0002336,12.39481617,2.761216936
0.0002346,12.40740634,2.753194711
0.0002349,12.41108975,2.750739225
0.000235,12.41230788,2.749915825
0.0002351,12.41352115,2.749089996
0.0002356,12.41945308,2.744895465
0.0002366,12.43107083,2.736390226
0.0002376,12.44219344,2.727657584
0.0002386,12.45281534,2.718707496
0.0002396,12.46293143,2.709550028
0.0002399,12.46586702,2.706763635
0.00024,12.46683533,2.70583093
0.0002401,12.46779851,2.704896297
0.0002406,12.47247299,2.700171567
0.0002416,12.48156379,2.690631199
0.0002426,12.49013664,2.680914194
0.0002436,12.49818846,2.671030943
0.0002446,12.50571669,2.660991892
0.0002449,12.50787276,2.657951126
0.000245,12.50858094,2.65693467
