"Time []","C1.V []","L1.I []"
0.0002055999999,9.73831716855487,1.70187132818257
0.0002065999999,9.72822102391728,1.74720594625785
0.0002075999999,9.72027166998085,1.79272101931887
0.0002085999999,9.71445687552814,1.83837373386378
0.0002095999999,9.71076258871533,1.88412153922134
0.0002098999997,9.71006587253198,1.89785904467927
0.0002099999999,9.70987566726298,1.90243911229958
0.0002100999999,9.70970644503577,1.90701953018728
0.0002105999999,9.70943458746349,1.92992518431265
0.000211398496648602,9.70966341343829,1.96650353783213
0.000212398496648602,9.71181108233719,2.01228879287437
0.000213398496648602,9.71600961052464,2.05801058594575
0.000214398496648602,9.72223664367259,2.10362812340378
0.000214899999498497,9.72611659157024,2.12645476164615
0.0002149999999,9.72695032921424,2.13100171298144
0.0002150999999,9.72780396060903,2.13554695869161
0.0002155999999,9.73261527313931,2.15822080596022
0.0002165999999,9.74321792405996,2.20346247398823
0.0002175999999,9.75576651984985,2.24847262954913
0.0002185999999,9.77023210050494,2.29321264334558
0.0002195999999,9.78658423360784,2.33764448000445
0.0002198999997,9.79185377125058,2.35090915714677
0.0002199999999,9.79364725805626,2.35532366494645
0.0002200999999,9.79545916019222,2.35973455852821
0.0002205999999,9.80502007706369,2.38168435775757
0.0002215999999,9.82504405994423,2.42538371638749
0.0002225999999,9.84685471200481,2.468664728668
0.0002235999999,9.87041613426887,2.51149202020526
0.0002245999999,9.89569116851491,2.55383094717742
0.0002248999997,9.90360301664738,2.56643305622053
0.0002249999999,9.90627366041759,2.57062318792371
0.0002250999999,9.90896089730337,2.57480795336599
0.0002255999999,9.92284748777911,2.5955794784882
0.0002265999999,9.95142841996887,2.63683671941072
0.0002275999999,9.98160425128383,2.67750639269819
0.0002285999999,10.0133332492449,2.7175570176929
0.0002295999999,10.0465726536941,2.75695795866351
0.0002298999997,10.0568334954531,2.76864773242289
0.0002299999999,10.0602829456882,2.77253062374751
0.0002300999999,10.0637468803529,2.77640659392147
0.0002305999999,10.0814582521929,2.79559201139954
0.0002315999999,10.1175806579128,2.83360162229848
0.0002325999999,10.1550793995612,2.87087502172374
0.0002335999999,10.1939080965897,2.90738514676223
0.0002345999999,10.2340195847814,2.94310586994852
0.0002348999997,10.2462971273257,2.95366491277284
0.0002349999999,10.2504141602501,2.95716820849184
0.0002350999999,10.2545433419752,2.96066325098961
0.0002355999999,10.2755161795498,2.97790808919411
0.0002365999999,10.3180427432906,3.01197249996571
0.0002375999999,10.3617063272704,3.0451750092601
0.0002385999999,10.4064571384232,3.07749337460316
0.0002395999999,10.4522448505035,3.1089063547139
0.0002398999997,10.4661769304091,3.11815108320801
0.0002399999999,10.4708404889891,3.12121407191457
0.0002400999999,10.4755136956997,3.12426771772988
0.0002405999999,10.4991375328776,3.13927634240111
0.0002415999999,10.5468397477836,3.16881656959449
0.0002425999999,10.5954251457732,3.19739392065893
0.0002435999999,10.6448417773066,3.22499125142813
0.0002445999999,10.695037410792,3.25159245954714
0.0002448999997,10.7102413551407,3.25937661805991
0.0002449999999,10.7153236713756,3.26195105818225
0.0002450999999,10.7204130328275,3.26451532147805
0.0002455999999,10.7460458892985,3.27705486258507
0.0002465999999,10.7976353589132,3.30161805010295
0.0002475999999,10.8498459277768,3.32514323723605
0.0002485999999,10.9026247376571,3.34761853058171
0.0002495999999,10.9559188944394,3.36903309426075
0.0002498999997,10.9720009186884,3.3752493306772
0.0002499999999,10.9773706452939,3.37729996321447
0.0002500999999,10.9827447742192,3.37933984779496
0.0002505999999,11.0097287924325,3.38924255987064
0.0002515999999,11.0638884627993,3.40850638731832
0.0002525999999,11.1184050794078,3.42668345189625
0.0002535999999,11.1732260875607,3.44376714022656
0.0002545999999,11.2282991326564,3.45975188802439
0.0002548999997,11.2448635653314,3.46433239687675
0.0002549999999,11.2503888469771,3.46583714747394
0.0002550999999,11.2559159084297,3.46733084271853
0.0002555999999,11.2835926445063,3.47449491627347
0.0002565999999,11.3390072774367,3.48826891705404
0.0002575999999,11.3945185820643,3.50093365845902
0.0002585999999,11.4500754586183,3.5124877180522
0.0002595999999,11.5056272284324,3.52293069118169
0.0002598999997,11.5222853658982,3.52584695145453
0.0002599999999,11.5278367846204,3.52679683120376
0.0002600999999,11.5333874382423,3.5277356069809
0.0002605999999,11.5611124833667,3.53212448214723
0.0002615999999,11.6164977292676,3.54034838002089
0.0002625999999,11.6717288469729,3.54746611425849
